                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                    nan,                    nan,                    nan,                0.69478,                0.58333,                0.55714,                0.36558,                    nan,                    nan,                    nan,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                    nan,                    nan,                    nan,                0.69478,                0.58333,                0.55714,                0.36558,                    nan,                    nan,                    nan,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                    nan,                    nan,                    nan,                0.70026,                0.58333,                0.55835,                0.36604,                    nan,                    nan,                    nan,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                    nan,                    nan,                    nan,                0.70026,                0.58333,                0.55835,                0.36604,                    nan,                    nan,                    nan,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                    nan,                    nan,                    nan,                0.89239,                0.38066,                0.55772,                0.36582,                    nan,                    nan,                    nan,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                    nan,                    nan,                    nan,                0.89239,                0.38066,                0.55772,                0.36582,                    nan,                    nan,                    nan,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                    nan,                    nan,                    nan,                0.90339,                0.37479,                0.48034,                0.31599,                    nan,                    nan,                    nan,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                    nan,                    nan,                    nan,                0.90339,                0.37479,                0.48034,                0.31599,                    nan,                    nan,                    nan,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                    nan,                    nan,                    nan,                0.90868,                0.38236,                0.47944,                0.31661,                    nan,                    nan,                    nan,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                    nan,                    nan,                    nan,                0.90868,                0.38236,                0.47944,                0.31661,                    nan,                    nan,                    nan,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                    nan,                    nan,                    nan,                0.74298,                0.38333,                0.45136,                0.29709,                    nan,                    nan,                    nan,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                    nan,                    nan,                    nan,                0.74298,                0.38333,                0.45136,                0.29709,                    nan,                    nan,                    nan,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                    nan,                    nan,                    nan,                0.74298,                0.38333,                0.45136,                0.29709,                    nan,                    nan,                    nan,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                    nan,                    nan,                    nan,                0.74752,                0.37416,                0.45058,                0.27158,                    nan,                    nan,                    nan,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                    nan,                    nan,                    nan,                0.74752,                0.37416,                0.45058,                0.27158,                    nan,                    nan,                    nan,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                    nan,                    nan,                    nan,                0.74752,                0.37416,                0.45058,                0.27158,                    nan,                    nan,                    nan,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                    nan,                    nan,                    nan,                 0.7445,                0.38333,                0.44836,                0.26236,                    nan,                    nan,                    nan,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                    nan,                    nan,                    nan,                 0.7445,                0.38333,                0.44836,                0.26236,                    nan,                    nan,                    nan,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                    nan,                    nan,                    nan,                 0.7445,                0.38333,                0.44836,                0.26236,                    nan,                    nan,                    nan,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                    nan,                    nan,                    nan,                0.74591,                0.38333,                0.40214,                0.24644,                    nan,                    nan,                    nan,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                    nan,                    nan,                    nan,                0.74591,                0.38333,                0.40214,                0.24644,                    nan,                    nan,                    nan,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                    nan,                    nan,                    nan,                0.74591,                0.38333,                0.40214,                0.24644,                    nan,                    nan,                    nan,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                    nan,                    nan,                    nan,                0.74999,                0.38333,                0.39325,                0.21999,                    nan,                    nan,                    nan,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                    nan,                    nan,                    nan,                0.74999,                0.38333,                0.39325,                0.21999,                    nan,                    nan,                    nan,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                    nan,                    nan,                    nan,                0.74999,                0.38333,                0.39325,                0.21999,                    nan,                    nan,                    nan,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                    nan,                    nan,                    nan,                0.74999,                0.38333,                0.39325,                0.21999,                    nan,                    nan,                    nan,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                    nan,                    nan,                    nan,                0.74917,                0.38333,                0.39207,                0.21948,                    nan,                    nan,                    nan,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                    nan,                    nan,                    nan,                0.74917,                0.38333,                0.39207,                0.21948,                    nan,                    nan,                    nan,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                    nan,                    nan,                    nan,                0.74917,                0.38333,                0.39207,                0.21948,                    nan,                    nan,                    nan,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                    nan,                    nan,                    nan,                0.74917,                0.38333,                0.39207,                0.21948,                    nan,                    nan,                    nan,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                    nan,                    nan,                    nan,                0.56441,                0.38333,                0.39203,                0.21838,                    nan,                    nan,                    nan,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                    nan,                    nan,                    nan,                0.56441,                0.38333,                0.39203,                0.21838,                    nan,                    nan,                    nan,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                    nan,                    nan,                    nan,                0.56441,                0.38333,                0.39203,                0.21838,                    nan,                    nan,                    nan,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                    nan,                    nan,                    nan,                0.56441,                0.38333,                0.39203,                0.21838,                    nan,                    nan,                    nan,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                    nan,                    nan,                    nan,                0.57197,                0.38333,                0.39426,                0.22266,                    nan,                    nan,                    nan,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                    nan,                    nan,                    nan,                0.57197,                0.38333,                0.39426,                0.22266,                    nan,                    nan,                    nan,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                    nan,                    nan,                    nan,                0.57197,                0.38333,                0.39426,                0.22266,                    nan,                    nan,                    nan,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                    nan,                    nan,                    nan,                0.57197,                0.38333,                0.39426,                0.22266,                    nan,                    nan,                    nan,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                    nan,                    nan,                    nan,                0.73522,                0.38333,                0.39418,                0.22259,                    nan,                    nan,                    nan,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                    nan,                    nan,                    nan,                0.73522,                0.38333,                0.39418,                0.22259,                    nan,                    nan,                    nan,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                    nan,                    nan,                    nan,                0.73522,                0.38333,                0.39418,                0.22259,                    nan,                    nan,                    nan,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                    nan,                    nan,                    nan,                0.73522,                0.38333,                0.39418,                0.22259,                    nan,                    nan,                    nan,             3.0024e-05,             3.0024e-05,             3.0024e-05
